catagory,type,sample,temperature
manmade,metal,aluminum_1,296.7
manmade,metal,aluminum_2,308.4
manmade,metal,aluminum_3,304.5
manmade,metal,aluminum_foil_1,263.3
manmade,metal,black_matte_metal_1,316.8
manmade,metal,black_matte_metal_2,306.5
manmade,metal,corrugated_metal_1,360.9
manmade,metal,corrugated_metal_2,310.7
manmade,metal,corrugated_metal_3,319.5
manmade,metal,iron_plate_1,312.7
manmade,metal,polished_metal_1,292.3
manmade,metal,polished_metal_2,293.4
manmade,metal,semi_polshed_metal_1,344.3
manmade,metal,semi_polshed_metal_2,326.8
manmade,other,green_paint_1,293.8
manmade,other,posterboard_1,300.0
manmade,other,posterboard_2,301.6
manmade,other,posterboard_3,294.4
manmade,other,posterboard_4,294.9
manmade,other,roofing_rubber_1,360.9
manmade,other,roofing_rubber_2,335.2
manmade,other,silicon_rubber_1,322.6
manmade,other,silicon_rubber_2,330.0
manmade,other,silicon_rubber_3,297.6
manmade,other,styrofoam_1,340.4
manmade,other,tan_paint_1,289.0
manmade,textile,black_plastic_1,360.9
manmade,textile,black_plastic_2,302.8
manmade,textile,black_plastic_3,323.2
manmade,textile,black_plastic_4,324.2
manmade,textile,black_silt_screen_1,300.3
manmade,textile,black_silt_screen_2,360.9
manmade,textile,black_silt_screen_dull_1,341.5
manmade,textile,black_silt_screen_shiny_1,360.9
manmade,textile,black_speaker_cloth_1,306.2
manmade,textile,blue_tarp_1,260.0
manmade,textile,blue_tarp_2,325.4
manmade,textile,blue_tarp_3,360.9
manmade,textile,blue_tarp_dew_1,294.7
manmade,textile,burlap_1,305.9
manmade,textile,camo_canvas_1,318.8
manmade,textile,camo_canvas_2,308.8
manmade,textile,fall_woodland_camo_1,297.5
manmade,textile,fall_woodland_camo_2,297.4
manmade,textile,green_canvas_1,311.7
manmade,textile,green_canvas_2,307.4
manmade,textile,green_cotton_1,285.3
manmade,textile,green_kevlar_1,286.1
manmade,textile,green_nylon_1,280.8
manmade,textile,nylon_poncho_1,313.4
manmade,textile,nylon_poncho_2,310.3
manmade,textile,tyvek_1,300.3
manmade,textile,white_drop_cloth_1,326.8
manmade,textile,white_drop_cloth_2,307.1
manmade,textile,white_drop_cloth_3,301.0
manmade,textile,white_drop_cloth_4,360.9
manmade,textile,white_drop_cloth_5,300.1
manmade,textile,white_polyester_1,305.2
manmade,textile,white_polyester_2,303.6
manmade,textile,white_polyester_3,296.1
manmade,textile,woven_monofilament_netting_1,284.8
manmade,textile,yellow_canvas_1,297.4
manmade,wood,plywood_1,307.4
manmade,wood,plywood_2,308.8
natural,geologic,anthracite_coal_1,318.4
natural,geologic,bituminous_coal_1,315.5
natural,geologic,concrete_1,307.9
natural,geologic,concrete_2,305.5
natural,geologic,dolomite_1,298.2
natural,geologic,dolomitic_limestone_1,278.9
natural,geologic,dolomitic_limestone_2,301.1
natural,geologic,lignite_coal_1,313.8
natural,geologic,limestone_1,307.4
natural,geologic,marble_chips_1,272.3
natural,geologic,marble_chips_2,300.1
natural,geologic,marble_chips_3,297.7
natural,geologic,quartzite_1,312.7
natural,geologic,sub_bituminous_coal_1,330.3
natural,other,human_skin_1,312.5
natural,other,ice_water_1,272.5
natural,other,ice_water_2,274.9
natural,other,water_1,297.0
natural,soil,background_soil_1,310.5
natural,soil,background_soil_2,300.8
natural,soil,background_soil_dew_1,294.3
natural,soil,background_soil_wet_1,295.9
natural,soil,coarse_sand_1,333.9
natural,soil,coarse_sand_oil_1,329.4
natural,soil,fine_sand_1,317.0
natural,soil,fine_sand_oil_1,310.1
natural,soil,fine_silt_1,318.3
natural,soil,gravel_1,325.5
natural,soil,gravel_2,298.9
natural,soil,gravel_3,316.3
natural,soil,loose_road_1,311.7
natural,soil,loose_road_2,314.1
natural,soil,play_sand_1,312.1
natural,soil,play_sand_2,316.5
natural,soil,play_sand_3,309.5
natural,soil,play_sand_4,302.7
natural,soil,playa_1,360.9
natural,soil,playa_2,293.0
natural,soil,playa_3,296.3
natural,soil,playa_4,297.9
natural,soil,quartz_sand_1,289.2
natural,soil,road_1,330.7
natural,soil,road_2,311.1
natural,soil,road_3,309.5
natural,soil,road_4,298.9
natural,soil,road_5,307.8
natural,soil,road_6,310.4
natural,soil,road_7,305.7
natural,soil,sand_2,340.6
natural,soil,sand_3,312.2
natural,soil,sand_4,320.9
natural,soil,tuft_fresh_1,299.5
natural,soil,tuft_weathered_1,302.3
natural,soils,sand_1,308.9
natural,vegetation,bush_1,305.5
natural,vegetation,canopy_debris_1,294.2
natural,vegetation,canopy_debris_dew_1,360.9
natural,vegetation,grass_1,329.1
natural,vegetation,grass_dew_1,360.9
natural,vegetation,ironwood_needles_1,297.7
natural,vegetation,plants_1,360.9
natural,vegetation,plants_dew_1,360.9
natural,vegetation,waxy_leaf_1,303.0
